Voisin0,Voisin1,Voisin2,Voisin3,Voisin4,Voisin5,Voisin6,Voisin7,Voisin8,Voisin9
50,617,7016,4201,9542,3355,20508,666,8939,2652
51,92,1492,535,1582,221,1802,3175,2042,10
52,6651,8868,6213,4594,6708,5741,4218,6976,8961
53,1002,865,1653,1999,1959,1536,788,570,247
54,404,40223,532,1567,327,2257,2356,2187,2506
55,10379,9770,22076,35386,38877,24432,26224,35848,28868
56,268,365,274,354,279,2348,2349,987,1758
57,229,1152,1488,1209,2164,4646,2312,1713,6882
58,16228,28278,12133,10136,19169,9202,809,6136,2225
59,1,2010,2315,990,2078,12692,2079,4801,12292
60,222,477,1441,3424,98,5268,6183,5432,5197
61,296,333,1580,531,1988,534,330,17811,1636
62,3932,3161,3528,7256,3215,11662,4583,2303,4239
63,10888,184,2720,2803,2639,1541,120,2893,4545
64,100,734,172,425,6068,13408,3556,3886,415
65,1799,680,375,170,3888,3607,4792,334,3893
66,89,1093,1140,1021,261,849,595,1512,1043
67,38,335,696,413,6,286,2586,1707,1840
68,139,1683,338,2218,142,3448,510,467,9675
69,11189,14119,11411,11718,2084,5158,16015,11565,41088
70,659,1454,4107,4542,2113,4437,7199,2880,202
71,203,154,1642,1023,1721,1097,1733,1591,3169
72,3954,40,747,4130,6137,1214,4872,212,12350
73,599,138,45,103,1675,205,465,1455,1661
74,3094,6449,3239,3213,3882,10129,3411,2892,8181
75,334,3893,735,4792,3607,170,3888,10285,375
76,17234,29353,9123,8317,13950,4115,2691,134,4143
77,2796,1537,977,1522,2456,11626,10707,3170,4806
78,984,1443,2236,98,2591,1441,3163,3322,3665
79,259,11979,33,527,3103,26,10995,28234,25342
80,1166,1378,3675,26876,2047,1991,4671,1033,1382
81,1411,9117,976,1674,24776,305,1215,9220,192
82,2397,3763,2486,6899,703,5929,4067,1487,3271
83,781,1289,104,1482,7441,7405,576,2089,5357
84,219,1039,34,1504,1362,1942,2359,789,1814
85,6612,17984,1727,6979,3488,17573,2286,8951,1930
86,1953,370,1540,3898,986,1436,1329,5384,4292
87,815,201,1561,4,2241,1090,2112,2609,2775
88,224,2250,1630,419,10703,372,1472,1555,9507
89,66,261,1093,849,1043,1140,1021,6887,1038
90,2625,3771,6122,1598,12435,6711,14718,7324,3863
91,10436,8845,6556,2708,6637,11,6779,3695,827
92,51,1492,1582,535,1802,221,4956,2042,2088
93,430,1502,2996,1662,15820,5774,3533,821,2905
94,320,611,6867,11086,4552,563,9009,28274,754
95,287,35,1732,3061,2245,244,15,5891,1429
96,1581,3434,5181,50598,28057,14536,14902,7131,38654
97,1774,25530,9294,12077,3628,17416,15187,11377,19509
98,1441,78,222,984,1443,60,2591,3424,2236
99,953,13788,3934,22591,24072,9888,10862,12637,1865
100,64,172,425,734,6068,2222,415,501,3886
101,13318,2262,31,4967,6785,14058,14541,8187,1926
102,1381,17,655,13828,329,1792,3696,142,510
103,138,599,73,205,45,465,377,1661,1675
104,83,781,7441,5357,565,1289,576,1482,10599
105,3309,1012,2052,12789,3311,2000,24928,7844,10337
106,1978,1387,3821,743,7662,10824,5413,2604,42399
107,3141,12115,22207,2354,42311,29309,36286,51496,22177
108,1945,4915,1206,1182,5057,7848,13360,7594,3663
109,3651,3461,7388,8957,4232,41019,1314,2184,452
110,6937,151,5705,4704,6879,22285,5559,15368,19976
111,10826,6099,3165,2759,15850,1635,1941,8276,2664
112,6574,1094,1810,1353,381,23034,744,2221,3209
113,1120,3441,9627,841,1143,4254,9022,22929,4668
114,1088,575,1592,32628,552,160,243,2922,3096
115,29,427,4284,9284,10444,11335,3242,5858,5368
116,679,273,791,2401,546,2497,1541,1491,2893
117,307,21967,1720,46774,11974,3536,5484,5241,6366
118,13772,10709,30123,29228,11142,9308,9082,10066,12167
119,16433,318,479,5539,7615,260,4123,2200,3623
120,2182,5207,184,63,10888,4223,273,1541,6990
121,13122,21255,6680,10611,24406,30600,2790,6957,7692
122,831,1034,675,1036,1283,266,384,1394,1764
123,2275,716,2515,344,9675,2306,15682,437,2611
124,2079,2315,2010,59,12692,1,990,2078,12292
125,128,165,802,1527,11203,2979,3967,7641,2675
126,967,11407,2046,19907,1122,1413,14008,2115,9021
127,1791,1823,13409,3478,1418,2749,794,4782,13113
128,802,11203,125,867,1527,165,1483,9157,3291
129,1459,1819,623,872,6683,7068,1599,2460,969
130,536,3395,4675,4074,4719,3152,1035,198,3744
131,6211,1705,29955,1576,3320,6518,7158,25414,10296
132,10928,26178,1386,774,6354,7311,2845,29188,1122
133,275,707,340,245,2272,1467,1977,2514,2241
134,756,778,8317,2691,1100,29353,2410,9634,7013
135,4115,9123,13950,1709,2728,9809,17234,2604,743
136,371,1473,1038,1043,849,780,1463,261,89
137,34615,1111,9620,25476,6528,9210,6081,11102,32655
138,599,73,103,45,205,1675,465,1661,377
139,1683,68,142,338,510,3448,13828,3760,17
140,4436,11350,776,5547,8015,4580,4512,4387,44683
141,811,1649,1706,14014,1651,395,687,9842,2535
142,510,338,17,139,1683,1381,13828,102,3167
143,6896,19,1398,5530,4932,13012,10864,1835,2189
144,741,480,1530,235,795,8994,156,603,3881
145,25,258,973,1031,448,1615,2355,833,297
146,251,691,15930,2230,1611,2107,207,382,2351
147,5795,2867,1669,2307,6907,2184,452,2827,13973
148,19972,23461,20274,32,22091,18189,20693,18781,18444
149,1198,4216,2643,10076,3538,7815,13442,1842,10350
150,560,5965,5651,3371,2037,7444,10478,3943,250
151,5705,110,6937,4704,5559,6879,22285,10430,15368
152,3210,3363,36216,17581,16249,4330,15454,3115,25373
153,336,1565,6836,15405,10523,1179,6349,1222,14413
154,203,1097,18289,71,1591,1721,169,3479,1642
155,469,1410,6993,20602,1606,4255,1056,5703,2963
156,603,699,7,813,144,741,480,1530,5408
157,1652,1573,13879,6761,15691,13329,6422,4150,5191
158,39408,1341,44743,8872,25623,44742,38573,1750,3772
159,3940,5778,14551,4313,16848,6165,7363,7343,7387
160,243,575,552,1088,114,1331,3587,1168,2991
161,24630,13469,13693,6961,18317,7963,6313,6916,32218
162,3944,1564,1224,4753,9111,3566,8557,9950,16346
163,2194,4257,586,3673,285,1719,12287,5,22
164,6991,11008,5870,2503,12989,5169,6125,1827,3044
165,1527,2979,125,1734,2675,128,3955,11203,9930
166,1078,11037,8300,3903,5887,24573,18340,13197,25036
167,451,1543,1501,2300,572,996,417,3325,9837
168,6600,460,10457,11996,7485,13216,9148,10462,5630
169,341,1361,18289,628,1641,1097,232,154,1591
170,375,3888,3607,334,4792,75,3893,1799,735
171,10767,2901,53367,27080,6686,32568,1365,20827,34612
172,100,64,415,501,425,6068,2222,734,13408
173,230,17787,1370,836,448,1031,520,973,1603
174,220,716,2534,1414,2611,2275,123,15682,3819
175,3826,2429,6192,6771,1301,4649,2702,1916,10769
176,562,1442,970,4534,4476,1787,2959,754,4224
177,685,189,2071,2185,4393,3894,1024,2821,3617
178,1406,436,413,335,353,1840,2025,2488,67
179,4655,4653,4654,1677,11389,14956,498,9085,36262
180,200,1979,2085,3017,4986,3974,1673,4916,2800
181,786,2782,4035,3739,1292,24367,12105,41202,2231
182,19884,1384,714,574,40223,21642,1570,17247,2506
183,22,1700,285,1719,4404,3654,475,7314,4275
184,63,10888,1541,120,2639,2182,2720,2893,2803
185,463,445,1470,693,626,2415,31012,2211,845
186,10595,5597,9811,16640,18290,16120,7570,3269,2995
187,5007,4147,13102,3172,6901,3694,5118,2169,2538
188,1041,1313,3117,2622,369,1809,486,3927,7237
189,177,2071,685,2185,4393,2821,3894,3733,1024
190,1020,19861,1595,45505,19835,1432,7247,7232,33719
191,10072,10194,12511,9529,2894,10958,14126,11445,10825
192,1040,305,2311,2234,557,5243,1831,1251,269
193,1420,837,1323,2422,1812,1805,6140,4112,368
194,328,2344,508,2293,2583,2364,4386,2815,2816
195,812,499,294,1602,1594,6735,694,37146,1096
196,1826,5349,13586,18064,13748,5292,1975,8177,7320
197,1864,2481,7431,10010,4817,1852,16401,15450,1066
198,237,1035,4790,26145,3744,3765,1725,7210,9164
199,5569,2589,2369,6438,2003,13165,4188,13930,5321
200,180,2085,1979,3017,4986,3974,766,4916,1673
201,1090,87,1561,815,1391,4,13773,688,1445
202,8,20526,4437,7265,3356,659,4293,248,4520
203,71,154,1097,1721,18289,1642,1591,3169,1023
204,2608,19772,10992,17239,7939,19919,4210,5964,11151
205,103,377,1661,138,599,73,465,45,789
206,5076,438,6848,6196,2011,2544,8182,1750,6428
207,382,1611,251,691,6408,506,146,2107,2361
208,1158,412,379,5089,18241,4695,15028,11502,10281
209,337,615,6328,217,384,847,306,1380,1366
210,39396,39398,39395,39399,28188,55109,9803,3631,13520
211,303,1022,304,322,1328,1659,9583,2273,1252
212,6137,1214,1196,40,4872,5897,12350,523,1068
213,16,511,442,530,1327,1586,1027,7416,1154
214,688,1359,772,1001,1445,1391,11814,1090,1688
215,432,2977,769,633,4141,2755,10540,3188,3665
216,569,348,367,1438,446,1755,2804,3389,2082
217,847,337,209,638,39,306,876,6328,615
218,3619,3827,4571,2783,2464,3749,4129,1702,3868
219,84,1039,34,1504,1942,789,2359,1362,1623
220,174,716,2534,1414,2611,1883,2275,123,15682
221,3175,535,51,92,3184,2247,357,3446,1800
222,477,60,98,1441,78,3424,984,1443,3163
223,1650,4556,11343,8204,8208,5921,4488,1658,2524
224,419,88,2250,1630,10703,6906,3787,372,6486
225,482,1583,1644,410,613,1756,799,6317,1529
226,227,620,450,792,3421,277,3859,3015,477
227,226,620,450,792,3421,3859,277,6770,60
228,3662,2386,2050,3518,4639,7206,8124,5485,17338
229,57,1209,1152,1488,6882,4646,2164,2312,1713
230,17787,173,520,448,444,408,1370,836,1031
231,514,302,321,18,272,818,579,309,433
232,319,341,628,1361,169,1542,269,1641,1584
233,1923,9760,4205,40293,8881,3615,22404,19550,4307
234,249,2,1518,2340,464,374,2412,1742,1491
235,795,1530,8994,741,144,480,813,7,603
236,1997,15142,8224,2270,3661,31533,11566,5860,11938
237,198,1035,4790,26145,3744,3765,9164,5186,1725
238,39345,19429,1497,43405,12675,25342,26,32122,527
239,342,473,3504,1383,1447,4841,1269,10812,2489
240,5362,1643,351,5892,3071,3895,406,6484,797
241,2482,6060,2475,5069,5443,3709,6153,4061,4148
242,2248,280,9982,4514,6082,7872,6232,5803,4517
243,160,575,552,1088,1331,3587,114,2991,1168
244,15,1429,6687,3693,11335,35,427,2934,1732
245,340,275,133,516,4,3168,707,3034,815
246,24,505,1621,2858,607,299,1626,1362,1833
247,570,788,1836,2624,580,1653,1999,53,1002
248,4474,9360,4520,12566,8,47735,21037,202,20526
249,234,2,374,1518,2340,464,3524,1742,1491
250,3943,3586,5965,560,3531,2037,18110,150,5651
251,146,691,15930,1611,207,382,2107,2230,6408
252,734,1781,425,6068,13408,64,3730,100,3556
253,431,3240,4450,3922,2324,4249,2414,2423,4398
254,1422,3133,7236,331,683,7392,4713,5614,4837
255,1766,26829,9770,14814,9448,55,10927,2079,2315
256,695,3959,1546,7251,11006,11932,10890,5013,478
257,1171,1184,9945,3612,3866,2444,2556,3703,2022
258,145,25,448,15426,408,444,7394,973,1031
259,33,527,3103,26,79,19234,10750,10995,25342
260,2200,16433,318,479,119,276,1485,879,7446
261,89,6887,66,1140,1093,371,849,1043,521
262,1153,1185,2207,7036,502,14385,40036,4470,1754
263,7268,6314,10698,1375,51532,6320,3949,28332,8033
264,429,648,707,441,3168,1467,630,271,2251
265,1371,1091,6688,6886,387,14444,793,2757,6181
266,122,831,5263,7400,6919,1394,1034,1036,675
267,3338,1455,45,1667,465,3439,73,1675,599
268,56,365,274,279,2349,2348,354,1758,2253
269,557,319,1160,232,1584,5243,1040,1542,192
270,7538,2279,5456,9687,7645,28279,17874,7547,508
271,630,409,648,713,1608,17495,1424,441,264
272,302,514,485,606,698,730,818,231,3947
273,116,6990,679,1541,546,791,184,2401,120
274,279,487,13,3164,1335,1368,768,268,56
275,245,133,340,4,516,815,2241,707,1977
276,879,2200,39,638,876,7446,260,306,1402
277,792,227,6332,226,3859,620,24285,5510,3421
278,10,875,1582,2088,823,1492,2042,1802,51
279,274,487,13,3164,1335,1368,768,268,56
280,242,6082,4514,2878,2248,9380,9982,7872,7215
281,11254,21593,6533,20469,2223,2224,20230,5462,21884
282,7274,14273,18440,5041,5656,10796,7461,10318,25023
283,6465,680,20727,65,1799,20101,31303,5139,43977
284,1575,291,2877,4191,2398,37157,4484,449,6888
285,22,1719,4257,183,4404,586,1700,163,3673
286,6,464,38,696,67,1707,1518,591,2621
287,95,35,1732,3061,244,2245,2934,15,1429
288,2978,2395,6642,5864,4016,5579,11991,5247,5291
289,5846,4951,2946,15103,6166,14514,2516,7772,7504
290,1192,3179,2874,3189,12153,9523,345,8115,3170
291,284,1575,449,6888,1426,4191,2877,2398,4687
292,612,495,1500,6414,2408,3817,2407,2545,3366
293,602,3180,5905,1015,9230,6596,10416,4149,2458
294,812,499,6735,694,195,1096,1602,1594,1560
295,9073,7555,6850,17570,4928,6311,777,11367,568
296,61,333,534,531,17811,3174,3185,297,1988
297,534,833,1163,3014,3185,25,296,145,258
298,703,421,558,2619,1627,1487,6899,6357,484
299,1621,505,246,2858,24,1626,607,10605,1327
300,14724,3591,1348,12983,4454,6916,31841,7541,13760
301,1417,5492,2680,2959,13854,2890,1585,3481,4224
302,514,272,231,818,606,321,698,485,730
303,322,211,1022,304,1252,1328,2273,2276,1659
304,211,471,1328,9583,303,1659,1022,11137,1218
305,192,1251,1040,1674,9117,5243,1215,976,24776
306,638,519,39,1402,879,217,6328,615,7446
307,117,1720,21967,46774,11974,3536,5484,6366,5241
308,7683,9319,4378,13663,14988,10730,7340,6047,5471
309,579,803,433,18,321,3162,1460,231,3157
310,3201,3394,10881,3997,3127,9765,4061,26866,8922
311,2014,38579,1273,1985,1597,11491,11620,2316,51875
312,1448,1752,1469,1354,773,6115,12150,8225,13081
313,3703,1344,2022,2544,438,2011,3614,10304,6428
314,2237,4429,2912,37046,6557,4901,30238,7822,9288
315,1187,2245,3061,95,287,1732,35,1201,1195
316,44,6095,28258,5320,14684,43126,7749,9589,42830
317,9779,16168,9784,8483,17297,2099,7469,11435,12256
318,479,16433,119,260,5539,2200,4123,3623,1485
319,232,628,1542,1584,1361,341,269,1641,169
320,94,6867,611,9009,563,11086,754,4406,4552
321,18,231,579,309,803,433,514,1460,302
322,303,211,1022,1252,2276,2273,304,1328,1659
323,1360,5363,11131,1528,17372,9425,10513,2631,15760
324,403,2476,4055,1312,4631,10969,1317,10159,13202
325,4276,1277,7344,7908,3383,907,1000,1938,7413
326,10287,9098,2075,540,2532,29197,3627,1346,6059
327,532,404,1025,54,40223,1567,1407,6898,44464
328,194,2344,508,2293,2583,2364,4386,2815,2372
329,655,102,1792,1381,3362,17,13828,772,11814
330,424,504,525,497,1988,1334,531,3160,1073
331,683,4713,2183,7392,3467,4837,3357,1422,6367
332,11311,4379,15227,30283,4369,2967,15770,4483,14984
333,531,17811,3174,296,3166,1988,3160,61,504
334,75,3893,4792,3607,735,170,3888,375,10285
335,413,67,1406,178,1840,38,2488,436,696
336,153,1565,6836,15405,10523,1179,6349,1222,14413
337,209,615,6328,217,384,847,306,1380,1366
338,142,510,3167,139,68,17,1683,1381,13828
339,18400,1392,14396,9674,46562,5541,29669,34602,3729
340,245,275,133,3168,707,3034,429,516,264
341,232,169,1361,628,319,1641,18289,1542,1097
342,239,473,3504,1383,1447,4841,1269,10812,3818
343,905,8069,10557,11787,16082,11897,11810,4338,4922
344,437,467,1148,9675,123,2306,2218,716,68
345,3170,4806,9523,8115,3189,3179,1522,12153,1192
346,1588,1806,3090,3299,21481,6429,2627,9483,11795
347,357,368,3184,5872,1800,2247,1323,221,837
348,367,216,569,446,1438,1755,2082,2804,496
349,9293,1689,363,11663,7983,6577,12483,52710,6855
350,533,361,820,1332,30,354,987,2891,3087
351,1643,240,3071,5362,3895,797,406,6484,1931
352,2240,2918,12276,5919,2834,1159,3899,2645,7051
353,436,178,2025,1406,413,335,2605,1840,1164
354,30,987,820,365,56,268,533,361,2348
355,2342,2590,7738,7624,3782,4054,3793,4724,5370
356,3122,2087,3750,3884,1397,5124,4952,366,5523
357,347,368,3184,5872,1800,2247,221,3175,1323
358,1962,8261,40544,968,813,7,1994,603,795
359,596,6503,3252,4964,746,6671,3896,1146,4688
360,3073,589,11381,19265,11476,12979,16276,13134,20304
361,533,350,820,30,354,1332,987,365,2891
362,1298,11035,14040,7623,12304,4626,7596,4564,10326
363,6577,7983,7402,2638,14318,349,23141,9293,52710
364,428,1804,30090,10083,593,9344,4233,23743,989
365,56,268,354,30,987,274,279,6723,1071
366,4068,3122,1776,3750,356,3884,2087,4952,5124
367,348,216,569,446,1438,1755,2082,2347,2804
368,347,357,5872,1323,837,4112,3184,1812,1800
369,1041,3117,188,453,1313,2035,2622,1809,486
370,86,1953,986,1540,1436,1329,3898,2868,5384
371,136,780,1473,261,1038,1043,849,89,6887
372,1472,1555,1630,88,2406,2250,10703,224,9507
373,12940,14582,2717,1506,4344,3494,7646,2384,23561
374,546,3524,2,791,1491,249,679,234,1742
375,170,3888,3607,334,4792,75,3893,1799,735
376,6455,4861,724,3543,2322,548,2321,1395,7434
377,205,1661,1558,103,789,34,138,1942,599
378,7430,10988,26024,16235,8673,9427,3771,2625,90
379,6508,412,208,2317,25828,7536,2988,18241,35321
380,6866,4372,4110,6375,682,41,21167,859,6142
381,744,11367,23034,9073,777,4928,1353,6850,1333
382,207,6408,506,251,1611,691,146,420,2107
383,5342,7082,3960,3806,4581,5916,1552,8229,2498
384,1366,1380,1283,209,337,675,847,2353,1764
385,658,6777,11375,3762,3031,13129,807,10275,7487
386,8660,4812,7161,8758,3972,3342,24162,19351,5953
387,793,6886,1091,1371,6688,405,2757,265,2684
388,35545,16218,48982,22845,49603,30232,53201,23927,32145
389,1624,3785,3797,2289,43,4890,4945,4820,5367
390,16883,30661,1533,1409,7631,784,4660,2045,3216
391,17734,23582,37211,33463,11070,12025,45275,50247,20429
392,798,396,1574,3266,4327,25231,9744,567,1475
393,4757,5450,2381,8156,4591,2368,3848,1299,3748
394,1286,1413,967,400,19907,19770,1680,9021,126
395,9075,15139,9842,15680,1646,141,687,1649,1706
396,392,25231,4327,1574,798,567,3266,1475,9744
397,28580,34641,34245,25192,14524,34986,44171,6040,47217
398,1510,10924,1820,1640,2683,554,2971,3861,31381
399,2400,17661,22429,19702,14529,48268,18022,32474,50814
400,1286,394,19907,2186,1413,13390,967,9021,19770
401,10768,5087,47660,20219,18384,2638,14318,16820,6884
402,681,718,2784,9844,1789,13483,1722,526,3955
403,324,2476,4055,4631,1312,10969,13202,10159,1317
404,40223,54,532,327,44464,1567,2199,2166,2257
405,387,793,6886,1728,5591,2684,1091,1371,6688
406,2041,3071,3895,6484,1931,6825,822,1643,351
407,5417,2574,21010,6186,15889,15261,1600,10842,11660
408,444,448,17787,230,520,15426,258,173,7394
409,271,713,630,485,441,17495,1424,1608,648
410,613,225,482,3579,1479,1583,1756,1644,4469
411,771,2721,1744,8201,13107,2094,1514,6996,2265
412,208,379,18241,24181,10706,10281,6508,1158,5089
413,335,1406,178,67,436,1840,38,2025,2488
414,420,506,8990,6408,382,4388,207,1611,251
415,501,172,100,433,3162,3157,6068,64,13408
416,6893,4579,7214,3991,1835,860,6439,5580,12076
417,996,3325,2300,572,6072,8851,451,6134,1501
418,654,486,2920,1809,5170,4719,3927,2622,10539
419,224,88,2250,6906,3787,1403,1630,824,6486
420,414,506,8990,382,207,6408,4388,1611,251
421,558,298,703,484,2619,1627,1487,2716,751
422,3596,1538,5406,3680,1551,5755,3214,21814,6622
423,1545,7906,13137,2098,2734,10084,13778,40479,886
424,504,525,497,330,1988,3160,1073,531,3166
425,6068,13408,734,64,100,172,252,415,1781
426,9061,2829,3820,1620,7204,49824,14800,11092,12985
427,6687,29,11335,15,244,115,1429,3242,3693
428,1804,364,30090,10083,4867,989,23743,9344,10220
429,264,3168,441,3034,707,648,340,1467,271
430,93,1502,821,2905,1662,3533,2996,15820,5774
431,253,4450,2324,3922,3240,2414,4249,2423,4398
432,2977,215,769,633,4141,10540,2755,3188,4016
433,3162,309,579,18,3157,803,321,231,1460
434,4541,40343,4348,10165,1089,15128,7951,6621,8244
435,5957,9037,567,14266,14107,2492,6365,1475,25231
436,2025,1406,353,178,413,335,1840,67,2986
437,344,1148,467,9675,123,2218,1257,2339,4405
438,2011,2544,206,3614,6428,8182,1344,5076,313
439,12922,18291,41580,7145,29276,19585,32422,17205,16482
440,5213,1416,2301,2919,1431,3860,4527,3526,3307
441,429,3168,264,271,3034,409,648,630,707
442,511,530,1154,213,10605,11503,16,1327,7416
443,1578,4433,2630,561,5436,6135,6056,7784,2173
444,408,448,17787,230,520,15426,258,173,7394
445,185,463,31012,1470,693,626,845,2415,2211
446,496,3389,569,216,1438,348,1023,367,2198
447,4053,2790,2788,3450,6680,24406,30600,10611,13122
448,408,444,17787,230,258,173,145,1031,520
449,6888,291,4191,1426,284,6922,4484,1575,7362
450,620,226,227,477,3015,3421,60,792,3859
451,167,2300,1501,572,996,417,1543,3325,6134
452,13973,2184,5795,2867,147,3941,4232,1669,2307
453,369,1041,3117,188,2035,1313,21447,2622,5634
454,8809,4616,1238,3007,23210,24702,3379,6352,17892
455,4526,9703,5918,460,168,6600,10457,36321,15524
456,5001,559,6894,1479,2468,3579,1404,4582,3422
457,751,484,1453,2716,1673,558,3974,421,2800
458,3302,7202,16938,1785,1554,4471,4472,35457,5206
459,1590,1718,1321,4296,550,9527,1614,9017,1546
460,168,6600,10457,7485,11996,13216,5782,9148,5630
461,7636,6088,4863,2343,3353,10328,3663,5817,7848
462,3745,2730,2392,4259,3676,6409,3285,3677,3678
463,185,445,626,1470,2211,31012,693,2415,845
464,286,1518,6,234,696,2621,249,38,1707
465,45,103,73,599,138,205,267,3594,3338
466,5488,4958,5487,1550,854,1419,627,4389,2945
467,344,437,9675,1148,2218,123,2306,68,2339
468,9078,1738,524,6221,6881,1377,3041,3809,3919
469,1410,155,6993,7181,20602,2963,5691,1606,13910
470,2269,40696,2406,1555,5961,1472,372,3636,22985
471,1073,11137,304,497,525,424,330,504,1218
472,3530,832,2764,861,4479,4258,3447,4664,4134
473,342,239,10812,3504,1269,545,3818,11831,1383
474,10911,11008,164,6991,5889,3768,3784,19210,20861
475,3654,183,4275,1687,1700,3674,22,5411,4404
476,1326,2831,1104,6235,1343,767,5253,10241,3613
477,222,60,1441,98,450,3015,3424,78,620
478,503,4567,3212,4356,15254,5013,5861,2827,6907
479,318,16433,119,260,5539,2200,3623,4123,1485
480,144,741,1530,3881,235,795,156,699,8994
481,3650,3904,12632,6430,13380,11901,4911,43,4945
482,225,410,1405,1583,799,1644,4528,613,3454
483,5360,6306,4226,2394,5335,12101,4227,6717,5316
484,457,751,558,421,2716,298,1453,2619,1673
485,272,3947,409,302,514,730,698,606,713
486,654,418,1809,2920,3927,2622,1313,188,5170
487,279,274,3164,13,1071,6723,1335,1368,768
488,4468,2667,3300,2101,8736,32445,3878,6720,5072
489,37154,13522,2111,4394,11883,22444,14320,4169,859
490,9,1662,1339,1502,2996,15820,2905,3912,93
491,24145,3648,3723,12881,5141,8750,3565,5027,24274
492,5568,16267,39721,24572,539,5564,8153,6816,5180
493,1164,1278,2758,2605,1229,5040,353,9510,25189
494,3348,1548,766,2809,200,2085,3365,15617,180
495,6414,612,292,1500,2408,2407,2545,3366,3817
496,446,3389,1023,569,71,3169,1150,1438,216
497,525,424,504,330,1073,1988,3160,531,11137
498,179,4655,14835,46214,20195,40345,4653,49949,5356
499,812,294,195,6735,694,9057,1096,1602,1594
500,5426,9492,2445,2577,8941,31828,1342,1619,3608
501,415,172,433,3162,309,579,3157,2222,100
502,2207,4470,1754,1153,7036,12348,262,31321,14385
503,478,4567,6907,147,3212,2827,1669,15254,3083
504,424,1988,330,525,497,3160,531,3166,3174
505,1621,2858,246,24,299,607,1626,1362,1833
506,420,414,6408,382,8990,207,4388,1611,251
507,3021,1534,16865,1610,4960,2326,2327,4560,2325
508,194,2344,328,2293,2816,2583,4386,1519,2815
509,3198,16011,1444,13629,10112,13152,34180,10126,34042
510,142,338,17,3167,1381,102,13828,3719,139
511,442,530,1154,213,10605,11503,16,1327,7416
512,2168,752,3177,13774,10597,2363,2776,2965,2347
513,4503,22616,2678,16453,14004,23067,36378,111,10826
514,302,231,272,818,321,606,18,698,485
515,2900,2901,10437,6686,3611,171,6166,15103,5846
516,4,245,13773,275,815,340,2165,87,133
517,817,1714,3804,1629,2521,2477,6224,3440,19984
518,2935,4960,1428,4354,3021,16865,8254,14712,7664
519,1402,306,6328,7446,879,615,638,39,7615
520,230,17787,444,408,173,448,4692,42,836
521,1140,595,6887,5924,9051,9978,1093,7697,261
522,3621,3132,21601,9057,3287,689,5465,5740,4192
523,212,1191,1196,1270,5897,6137,1214,12350,4872
524,6221,1738,468,9078,2892,3411,3919,10129,3809
525,497,424,504,330,1073,1988,3160,531,11137
526,555,13483,755,2784,9844,718,1664,1042,1119
527,26,33,3103,259,19234,79,10750,12675,11700
